name,ring,quadrant,isNew,description
,Adopt,Techniques,TRUE,
,Adopt,Techniques,FALSE,
,Adopt,Techniques,FALSE,
Scrum,Adopt,Techniques,FALSE,
API Design First,Adopt,Techniques,TRUE,
Test Driven Development,Trial,Techniques,TRUE,
,Trial,Techniques,TRUE,
C4model Architecture Modeling,Trial,Techniques,FALSE,
,Trial,Techniques,TRUE,
Restfull API's,Trial,Techniques,TRUE,
XML Web Services (SOAP),Trial,Techniques,TRUE,
,Trial,Techniques,TRUE,
,Trial,Techniques,TRUE,
,Trial,Techniques,TRUE,
,Trial,Techniques,TRUE,
,Trial,Techniques,TRUE,
,Assess,Techniques,FALSE,
,Assess,Techniques,FALSE,
,Assess,Techniques,TRUE,
,Assess,Techniques,TRUE,
,Assess,Techniques,TRUE,
,Assess,Techniques,TRUE,
,Assess,Techniques,FALSE,
,Assess,Techniques,TRUE,
,Assess,Techniques,TRUE,
,Assess,Techniques,TRUE,
,Hold,Techniques,TRUE,
,Hold,Techniques,TRUE,
,Hold,Techniques,TRUE,
,Hold,Techniques,TRUE,
,Hold,Techniques,FALSE,
,Hold,Techniques,TRUE,
,Hold,Techniques,TRUE,
,Trial,Platforms,FALSE,
,Trial,Platforms,FALSE,
GoAnyWhere MFT,Trial,Platforms,FALSE,
IBM Process Server,Trial,Platforms,FALSE,
IBM Lombardi,Trial,Platforms,FALSE,
AS/400,Trial,Platforms,TRUE,
Microsoft SQL Server 2019,Assess,Platforms,TRUE,
DB/400,Assess,Platforms,TRUE,
Oracle Database 12c,Assess,Platforms,TRUE,
Apache Kafka 2.8,Assess,Platforms,TRUE,
,Assess,Platforms,TRUE,
,Assess,Platforms,TRUE,
,Assess,Platforms,TRUE,
,Assess,Platforms,TRUE,
,Assess,Platforms,FALSE,
,Assess,Platforms,TRUE,
,Hold,Platforms,TRUE,
,Hold,Platforms,TRUE,
,Adopt,Tools,FALSE,
,Trial,Tools,TRUE,
,Trial,Tools,FALSE,
,Trial,Tools,TRUE,
,Trial,Tools,TRUE,
,Trial,Tools,FALSE,
,Trial,Tools,FALSE,
,Trial,Tools,FALSE,
,Trial,Tools,TRUE,
,Trial,Tools,FALSE,
nginx 1.2,Trial,Tools,TRUE,
node.js 16,Trial,Tools,TRUE,
Apache Active MQ 5,Trial,Tools,TRUE,
,Trial,Tools,FALSE,
,Trial,Tools,TRUE,
,Trial,Tools,TRUE,
HashiCorp Vault,Assess,Tools,TRUE,
AgilePoint,Assess,Tools,TRUE,
Cyberark SAFE,Assess,Tools,TRUE,
Redis,Assess,Tools,TRUE,
,Assess,Tools,TRUE,
,Assess,Tools,TRUE,
,Assess,Tools,TRUE,
,Assess,Tools,TRUE,
,Assess,Tools,TRUE,
,Assess,Tools,TRUE,
,Assess,Tools,TRUE,
,Assess,Tools,TRUE,
,Hold,Tools,TRUE,
,Adopt,languages-and-frameworks,TRUE,
,Adopt,languages-and-frameworks,FALSE,
,Trial,languages-and-frameworks,TRUE,
,Trial,languages-and-frameworks,TRUE,
,Trial,languages-and-frameworks,FALSE,
,Trial,languages-and-frameworks,TRUE,
,Trial,languages-and-frameworks,FALSE,
,Trial,languages-and-frameworks,TRUE,
,Trial,languages-and-frameworks,FALSE,
,Trial,languages-and-frameworks,FALSE,
Express.js 4,Trial,languages-and-frameworks,TRUE,
Flusk 2,Trial,languages-and-frameworks,FALSE,
Spring Boot 2.5,Trial,languages-and-frameworks,FALSE,
,Trial,languages-and-frameworks,TRUE,
.NET 5,Assess,languages-and-frameworks,TRUE,
Java 16,Assess,languages-and-frameworks,TRUE,
JavaScript (ECMAscript 2021),Assess,languages-and-frameworks,TRUE,
Python 3.9,Assess,languages-and-frameworks,TRUE,
Angular 12,Assess,languages-and-frameworks,TRUE,
React.js 17,Assess,languages-and-frameworks,TRUE,
,Assess,languages-and-frameworks,TRUE,
EMERGE,Assess,languages-and-frameworks,TRUE,
COBOL 400,Assess,languages-and-frameworks,TRUE,
,Assess,languages-and-frameworks,TRUE,